TailleTrain;Algo;Parametre;TauxReussite;TempsApprentissageMS;TempsPredictionMS
5000;MLP;128_caches;91.48;35357;442
5000;KNN;k=3;90.82;0;22023
10000;MLP;128_caches;93.64;69560;447
10000;KNN;k=3;92.50;0;50112
15000;MLP;128_caches;94.94;105318;450
15000;KNN;k=3;93.16;0;75443
20000;MLP;128_caches;95.86;135585;442
20000;KNN;k=3;93.58;0;101521
25000;MLP;128_caches;95.90;171487;441
25000;KNN;k=3;94.20;0;128196
30000;MLP;128_caches;96.70;208718;441
30000;KNN;k=3;94.60;0;155304
35000;MLP;128_caches;96.78;246164;443
35000;KNN;k=3;95.04;0;182805
40000;MLP;128_caches;96.92;276566;441
40000;KNN;k=3;95.06;0;208439
45000;MLP;128_caches;97.06;316342;465
45000;KNN;k=3;95.16;0;234936
50000;MLP;128_caches;96.90;351744;441
50000;KNN;k=3;95.40;0;261659
55000;MLP;128_caches;97.14;373546;447
55000;KNN;k=3;95.66;0;288772
60000;MLP;128_caches;97.08;420778;438
60000;KNN;k=3;95.68;0;316731
